function_code;function;function_group
25;Lawyer;Managers
202;Tax and Accounting Analyst;Administration
109;Senior Payroll Department Analyst;Administration
229;Engineering Analyst;Engineering
238;Financial Analyst;Administration
200;Legal Analyst;Administration
13;Engineering Assistant;Engineering
213;Accounting and Tax Assistant;Administration
111;Administrative Assistant;Administration
64;Accounting Assistant I;Administration
43;Payroll Department Assistant;Administration
57;Legal Assistant;Administration
75;Maintenance Assistant;Assistants
217;Accounting and Tax Clerk;Administration
84;Purchaser;Administration
237;Safety and Environmental Coordinator;Production Supervisors
124;Payroll Department Manager;Administration
207;Administrative Manager;Administration
29;Civil Engineer;Engineering
203;Accounting Manager;Managers
35;Payroll Department Manager;Managers
224;Strategies Manager;Managers
34;Asset Manager;Managers
36;Financial Manager;Managers
11;Young Apprentice;Administration
78;Mechanic;Machine Operators
8;Driver;Machine Operators
116;Cashier;Machine Operators
2;Bricklayer;Professionals
231;Bricklayer B;Professionals
236;Painter B;Professionals
21;Receptionist;Assistants
1;Servant;Assistants
104;Director;Managers
20;Trainee;Trainees
105;General Services;Assistants
10;Watchman;Assistants
225;Administrative Analyst;Administration
113;Mechanical Assistant;Assistants
232;Carpenter B;Professionals
18;Assembler;Professionals
208;Sales Analyst;Administration
51;Marketing Analyst;Administration
205;Senior Legal Assistant;Administration
39;Administrative Assistant;Administration
15;Collection Assistant;Administration
7;General Services Assistant;Assistants
85;Collection Coordinator;Administration
32;Portfolio Manager;Managers
234;SDR;Assistants
245;Customer Service Supervisor;Managers
4;Painter;Professionals
3;Carpenter;Professionals
44;Construction Manager;Administration
12;Storekeeper;Administration
5;Iron Worker B;Professionals
204;Office Assistant;Administration
96;Construction Foreman;Production Supervisors
101;Tower Crane Operator;Machine Operators
6;Concrete Mixer Operator;Machine Operators
223;Machine Operator;Machine Operators
27;Safety Technician;Production Supervisors
219;Engineering Assistant;Administration
221;Tiler;Professionals
107;Foreman;Production Supervisors
226;Plasterer;Professionals
98;Construction Foreman II;Production Supervisors
233;Bricklayer A;Professionals
235;Painter A;Professionals
123;Warehouse Assistant;Administration
102;Gantry Crane Operator;Machine Operators
230;Doorman;Assistants
222;Grout Applicator;Professionals
120;Locksmith;Professionals
117;Signaler;Assistants
228;Foreman I;Production Supervisors
214;Foreman II;Production Supervisors
215;Foreman III;Production Supervisors
112;Junior Construction Worker;Assistants
97;Construction Foreman I;Production Supervisors
218;Mini Crane Operator;Machine Operators
210;File Clerk;Administration
239;Payroll Department Coordinator;Administration
108;Foreman I;Production Supervisors
211;Junior Payroll Department Analyst;Administration
110;Financial Assistant;Administration
243;Purchasing Department Assistant;Administration
246;Iron Worker A;Professionals
17;Electrician;Professionals
240;Plumber;Professionals
241;Reinforcement Foreman;Production Supervisors
242;Waterproofing Technician;Professionals
244;Controller Analyst;Administration
100;Backhoe Operator;Machine Operators
247;Tile Layer;Professionals
122;Coating Grout Applicator;Professionals
250;Asset and Warehouse Manager;Administration
249;Reinforcement Worker;Professionals
253;Junior Administrative Assistant;Administration
251;Junior Purchasing Department Assistant;Administration
248;Carpenter A;Professionals
252;Safety Technician Assistant;Administration
255;SSMA Coordinator;Administration
257;General Foreman;Production Supervisors
254;Electrician A;Professionals
256;Safety Technician B;Administration
258;Safety Technician Assistant;Administration
